Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi,text_final_stemmed_tokenized,polarity_score,polarity
good,good,good,good,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,,['bagus'],4,positive
baguss anzayyy,baguss anzayyy,baguss anzayyy,baguss anzayyy,baguss anzayyy,"['baguss', 'anzayyy']","['baguss', 'anzayyy']","['baguss', 'anzayyy']",baguss anzayyy,baguss anzayyy,,"['baguss', 'anzayyy']",0,neutral
bagus banget..jadi semangat belajar,bagus bangetjadi semangat belajar,bagus bangetjadi semangat belajar,bagus bangetjadi semangat belajar,bagus bangetjadi semangat belajar,"['bagus', 'bangetjadi', 'semangat', 'belajar']","['bagus', 'bangetjadi', 'semangat', 'belajar']","['bagus', 'bangetjadi', 'semangat', 'belajar']",bagus bangetjadi semangat belajar,bagus bangetjadi semangat ajar,,"['bagus', 'bangetjadi', 'semangat', 'ajar']",8,positive
otw nonton anime tanpa sub ini mah,otw nonton anime tanpa sub ini mah,otw nonton anime tanpa sub ini mah,otw nonton anime tanpa sub ini mah,"on the way, sedang di jalan nonton anime tanpa sub ini mah","['on', 'the', 'way', ',', 'sedang', 'di', 'jalan', 'nonton', 'anime', 'tanpa', 'sub', 'ini', 'mah']","['on', 'the', 'way', ',', 'sedang', 'di', 'jalan', 'nonton', 'anime', 'tanpa', 'sub', 'ini', 'mah']","['way', ',', 'jalan', 'nonton', 'anime', 'sub', 'mah']","way , jalan nonton anime sub mah",way  jalan nonton anime sub mah,,"['way', 'jalan', 'nonton', 'anime', 'sub', 'mah']",0,neutral
"menarik, mudah di pahami, karakternya juga lucu, bagus sih buat pemula ini",menarik mudah di pahami karakternya juga lucu bagus sih buat pemula ini,menarik mudah di pahami karakternya juga lucu bagus sih buat pemula ini,menarik mudah di pahami karakternya juga lucu bagus sih buat pemula ini,menarik mudah di pahami karakternya juga lucu bagus sih buat pemula ini,"['menarik', 'mudah', 'di', 'pahami', 'karakternya', 'juga', 'lucu', 'bagus', 'sih', 'buat', 'pemula', 'ini']","['menarik', 'mudah', 'di', 'pahami', 'karakternya', 'juga', 'lucu', 'bagus', 'sih', 'buat', 'pemula', 'ini']","['menarik', 'mudah', 'pahami', 'karakternya', 'lucu', 'bagus', 'pemula']",menarik mudah pahami karakternya lucu bagus pemula,tarik mudah paham karakter lucu bagus mula,,"['tarik', 'mudah', 'paham', 'karakter', 'lucu', 'bagus', 'mula']",12,positive
"sumpah ini bagus banget ,ak jdi gampang tau cara ngomong + hurufnya",sumpah ini bagus banget ak jdi gampang tau cara ngomong  hurufnya,sumpah ini bagus banget ak jdi gampang tau cara ngomong  hurufnya,sumpah ini bagus banget ak jdi gampang tau cara ngomong  hurufnya,sumpah ini bagus banget saya jadi gampang tahu cara bicara hurufnya,"['sumpah', 'ini', 'bagus', 'banget', 'saya', 'jadi', 'gampang', 'tahu', 'cara', 'bicara', 'hurufnya']","['sumpah', 'ini', 'bagus', 'banget', 'saya', 'jadi', 'gampang', 'tahu', 'cara', 'bicara', 'hurufnya']","['sumpah', 'bagus', 'banget', 'gampang', 'bicara', 'hurufnya']",sumpah bagus banget gampang bicara hurufnya,sumpah bagus banget gampang bicara huruf,,"['sumpah', 'bagus', 'banget', 'gampang', 'bicara', 'huruf']",11,positive
"gak bisa pake fitur terbaru voice over video, padahal Udah berlangganan",gak bisa pake fitur terbaru voice over video padahal Udah berlangganan,gak bisa pake fitur terbaru voice over video padahal udah berlangganan,gak bisa pake fitur terbaru voice over video padahal udah berlangganan,tidak bisa pakai fitur terbaru voice over video padahal sudah berlangganan,"['tidak', 'bisa', 'pakai', 'fitur', 'terbaru', 'voice', 'over', 'video', 'padahal', 'sudah', 'berlangganan']","['tidak', 'bisa', 'pakai', 'fitur', 'terbaru', 'voice', 'over', 'video', 'padahal', 'sudah', 'berlangganan']","['pakai', 'fitur', 'terbaru', 'voice', 'video', 'berlangganan']",pakai fitur terbaru voice video berlangganan,pakai fitur baru voice video langgan,,"['pakai', 'fitur', 'baru', 'voice', 'video', 'langgan']",2,positive
tidak bisa melakukan belajar karna pakek kouta,tidak bisa melakukan belajar karna pakek kouta,tidak bisa melakukan belajar karna pakek kouta,tidak bisa melakukan belajar karna pakek kouta,tidak bisa melakukan belajar karena pakai kouta,"['tidak', 'bisa', 'melakukan', 'belajar', 'karena', 'pakai', 'kouta']","['tidak', 'bisa', 'melakukan', 'belajar', 'karena', 'pakai', 'kouta']","['belajar', 'pakai', 'kouta']",belajar pakai kouta,ajar pakai kouta,,"['ajar', 'pakai', 'kouta']",3,positive
sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']","['sangat', 'membantu', 'sekali']",['membantu'],membantu,bantu,,['bantu'],4,positive
sangat membantu aplikasi yg sangat di rekomendasikan untuk belajar alphabet jepang,sangat membantu aplikasi yg sangat di rekomendasikan untuk belajar alphabet jepang,sangat membantu aplikasi yg sangat di rekomendasikan untuk belajar alphabet jepang,sangat membantu aplikasi yg sangat di rekomendasikan untuk belajar alphabet jepang,sangat membantu aplikasi yang sangat di rekomendasikan untuk belajar alphabet jepang,"['sangat', 'membantu', 'aplikasi', 'yang', 'sangat', 'di', 'rekomendasikan', 'untuk', 'belajar', 'alphabet', 'jepang']","['sangat', 'membantu', 'aplikasi', 'yang', 'sangat', 'di', 'rekomendasikan', 'untuk', 'belajar', 'alphabet', 'jepang']","['membantu', 'aplikasi', 'rekomendasikan', 'belajar', 'alphabet', 'jepang']",membantu aplikasi rekomendasikan belajar alphabet jepang,bantu aplikasi rekomendasi ajar alphabet jepang,,"['bantu', 'aplikasi', 'rekomendasi', 'ajar', 'alphabet', 'jepang']",13,positive
"bagus aplikasi nya, suka!",bagus aplikasi nya suka,bagus aplikasi nya suka,bagus aplikasi nya suka,bagus aplikasi nya suka,"['bagus', 'aplikasi', 'nya', 'suka']","['bagus', 'aplikasi', 'nya', 'suka']","['bagus', 'aplikasi', 'suka']",bagus aplikasi suka,bagus aplikasi suka,,"['bagus', 'aplikasi', 'suka']",9,positive
"ada bahasa Indonesia, ini yang saya cari. Aku mau 3",ada bahasa Indonesia ini yang saya cari Aku mau,ada bahasa indonesia ini yang saya cari aku mau,ada bahasa indonesia ini yang saya cari aku mau,ada bahasa indonesia ini yang saya cari aku mau,"['ada', 'bahasa', 'indonesia', 'ini', 'yang', 'saya', 'cari', 'aku', 'mau']","['ada', 'bahasa', 'indonesia', 'ini', 'yang', 'saya', 'cari', 'aku', 'mau']","['bahasa', 'indonesia', 'cari']",bahasa indonesia cari,bahasa indonesia cari,,"['bahasa', 'indonesia', 'cari']",7,positive
mudah di pahami,mudah di pahami,mudah di pahami,mudah di pahami,mudah di pahami,"['mudah', 'di', 'pahami']","['mudah', 'di', 'pahami']","['mudah', 'pahami']",mudah pahami,mudah paham,,"['mudah', 'paham']",1,positive
"Aplikasi belajar bahasa Jepang yang bagus, terus kembangkan developer. semangat!",Aplikasi belajar bahasa Jepang yang bagus terus kembangkan developer semangat,aplikasi belajar bahasa jepang yang bagus terus kembangkan developer semangat,aplikasi belajar bahasa jepang yang bagus terus kembangkan developer semangat,aplikasi belajar bahasa jepang yang bagus terus kembangkan developer semangat,"['aplikasi', 'belajar', 'bahasa', 'jepang', 'yang', 'bagus', 'terus', 'kembangkan', 'developer', 'semangat']","['aplikasi', 'belajar', 'bahasa', 'jepang', 'yang', 'bagus', 'terus', 'kembangkan', 'developer', 'semangat']","['aplikasi', 'belajar', 'bahasa', 'jepang', 'bagus', 'kembangkan', 'developer', 'semangat']",aplikasi belajar bahasa jepang bagus kembangkan developer semangat,aplikasi ajar bahasa jepang bagus kembang developer semangat,,"['aplikasi', 'ajar', 'bahasa', 'jepang', 'bagus', 'kembang', 'developer', 'semangat']",19,positive
baguss,baguss,baguss,baguss,baguss,['baguss'],['baguss'],['baguss'],baguss,baguss,,['baguss'],0,neutral
keren suka bgtt sama apk nya,keren suka bgtt sama apk nya,keren suka bgtt sama apk nya,keren suka bgtt sama apk nya,keren suka bgtt sama apk nya,"['keren', 'suka', 'bgtt', 'sama', 'apk', 'nya']","['keren', 'suka', 'bgtt', 'sama', 'apk', 'nya']","['keren', 'suka', 'bgtt', 'apk']",keren suka bgtt apk,keren suka bgtt apk,,"['keren', 'suka', 'bgtt', 'apk']",3,positive
Bagus Bangett,Bagus Bangett,bagus bangett,bagus bangett,bagus bangett,"['bagus', 'bangett']","['bagus', 'banget']","['bagus', 'banget']",bagus banget,bagus banget,,"['bagus', 'banget']",5,positive
buat developer terimakasih telah membuat aplikasi sesempurna ini 💗 pokoknya aplikasi ini aku rekomendasikan kepada kalian semua yang baru pemula bahasa jepang / yang sudah berpengalaman untuk melanjutkan pembelajaran berbasis aplikasi 👍🏻💋,buat developer terimakasih telah membuat aplikasi sesempurna ini  pokoknya aplikasi ini aku rekomendasikan kepada kalian semua yang baru pemula bahasa jepang  yang sudah berpengalaman untuk melanjutkan pembelajaran berbasis aplikasi,buat developer terimakasih telah membuat aplikasi sesempurna ini  pokoknya aplikasi ini aku rekomendasikan kepada kalian semua yang baru pemula bahasa jepang  yang sudah berpengalaman untuk melanjutkan pembelajaran berbasis aplikasi,buat developer terimakasih telah membuat aplikasi sesempurna ini  pokoknya aplikasi ini aku rekomendasikan kepada kalian semua yang baru pemula bahasa jepang  yang sudah berpengalaman untuk melanjutkan pembelajaran berbasis aplikasi,buat developer terimakasih telah membuat aplikasi sesempurna ini pokoknya aplikasi ini aku rekomendasikan kepada kalian semua yang baru pemula bahasa jepang yang sudah berpengalaman untuk melanjutkan pembelajaran berbasis aplikasi,"['buat', 'developer', 'terimakasih', 'telah', 'membuat', 'aplikasi', 'sesempurna', 'ini', 'pokoknya', 'aplikasi', 'ini', 'aku', 'rekomendasikan', 'kepada', 'kalian', 'semua', 'yang', 'baru', 'pemula', 'bahasa', 'jepang', 'yang', 'sudah', 'berpengalaman', 'untuk', 'melanjutkan', 'pembelajaran', 'berbasis', 'aplikasi']","['buat', 'developer', 'terimakasih', 'telah', 'membuat', 'aplikasi', 'sesempurna', 'ini', 'pokoknya', 'aplikasi', 'ini', 'aku', 'rekomendasikan', 'kepada', 'kalian', 'semua', 'yang', 'baru', 'pemula', 'bahasa', 'jepang', 'yang', 'sudah', 'berpengalaman', 'untuk', 'melanjutkan', 'pembelajaran', 'berbasis', 'aplikasi']","['developer', 'terimakasih', 'aplikasi', 'sesempurna', 'pokoknya', 'aplikasi', 'rekomendasikan', 'pemula', 'bahasa', 'jepang', 'berpengalaman', 'melanjutkan', 'pembelajaran', 'berbasis', 'aplikasi']",developer terimakasih aplikasi sesempurna pokoknya aplikasi rekomendasikan pemula bahasa jepang berpengalaman melanjutkan pembelajaran berbasis aplikasi,developer terimakasih aplikasi sempurna pokok aplikasi rekomendasi mula bahasa jepang alam lanjut ajar bas aplikasi,,"['developer', 'terimakasih', 'aplikasi', 'sempurna', 'pokok', 'aplikasi', 'rekomendasi', 'mula', 'bahasa', 'jepang', 'alam', 'lanjut', 'ajar', 'bas', 'aplikasi']",41,positive
sangat bermanfaat tapi kalau bisa mode offlinenya gratis cocok untuk pemula yang tidak bisa sama sekali,sangat bermanfaat tapi kalau bisa mode offlinenya gratis cocok untuk pemula yang tidak bisa sama sekali,sangat bermanfaat tapi kalau bisa mode offlinenya gratis cocok untuk pemula yang tidak bisa sama sekali,sangat bermanfaat kalau bisa mode offlinenya gratis cocok untuk pemula yang tidak bisa sama sekali,sangat bermanfaat kalau bisa mode offlinenya gratis cocok untuk pemula yang tidak bisa sama sekali,"['sangat', 'bermanfaat', 'kalau', 'bisa', 'mode', 'offlinenya', 'gratis', 'cocok', 'untuk', 'pemula', 'yang', 'tidak', 'bisa', 'sama', 'sekali']","['sangat', 'bermanfaat', 'kalau', 'bisa', 'mode', 'offlinenya', 'gratis', 'cocok', 'untuk', 'pemula', 'yang', 'tidak', 'bisa', 'sama', 'sekali']","['bermanfaat', 'mode', 'offlinenya', 'gratis', 'cocok', 'pemula']",bermanfaat mode offlinenya gratis cocok pemula,manfaat mode offlinenya gratis cocok mula,,"['manfaat', 'mode', 'offlinenya', 'gratis', 'cocok', 'mula']",15,positive
aplikasi ini sangat cocok untuk pemula,aplikasi ini sangat cocok untuk pemula,aplikasi ini sangat cocok untuk pemula,aplikasi ini sangat cocok untuk pemula,aplikasi ini sangat cocok untuk pemula,"['aplikasi', 'ini', 'sangat', 'cocok', 'untuk', 'pemula']","['aplikasi', 'ini', 'sangat', 'cocok', 'untuk', 'pemula']","['aplikasi', 'cocok', 'pemula']",aplikasi cocok pemula,aplikasi cocok mula,,"['aplikasi', 'cocok', 'mula']",10,positive
membantu jadi mengerti hiragana,membantu jadi mengerti hiragana,membantu jadi mengerti hiragana,membantu jadi mengerti hiragana,membantu jadi mengerti hiragana,"['membantu', 'jadi', 'mengerti', 'hiragana']","['membantu', 'jadi', 'mengerti', 'hiragana']","['membantu', 'mengerti', 'hiragana']",membantu mengerti hiragana,bantu erti hiragana,,"['bantu', 'erti', 'hiragana']",6,positive
game ini sanagat membatu aku buat belajar bahasa jepang sangat lengkap,game ini sanagat membatu aku buat belajar bahasa jepang sangat lengkap,game ini sanagat membatu aku buat belajar bahasa jepang sangat lengkap,game ini sanagat membatu aku buat belajar bahasa jepang sangat lengkap,game ini sanagat membatu aku buat belajar bahasa jepang sangat lengkap,"['game', 'ini', 'sanagat', 'membatu', 'aku', 'buat', 'belajar', 'bahasa', 'jepang', 'sangat', 'lengkap']","['game', 'ini', 'sanagat', 'membatu', 'aku', 'buat', 'belajar', 'bahasa', 'jepang', 'sangat', 'lengkap']","['game', 'sanagat', 'membatu', 'belajar', 'bahasa', 'jepang', 'lengkap']",game sanagat membatu belajar bahasa jepang lengkap,game sanagat batu ajar bahasa jepang lengkap,,"['game', 'sanagat', 'batu', 'ajar', 'bahasa', 'jepang', 'lengkap']",14,positive
bagus banget,bagus banget,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",bagus banget,bagus banget,,"['bagus', 'banget']",5,positive
bagus untuk pemula,bagus untuk pemula,bagus untuk pemula,bagus untuk pemula,bagus untuk pemula,"['bagus', 'untuk', 'pemula']","['bagus', 'untuk', 'pemula']","['bagus', 'pemula']",bagus pemula,bagus mula,,"['bagus', 'mula']",7,positive
mntap,mntap,mntap,mntap,mntap,['mntap'],['mntap'],['mntap'],mntap,mntap,,['mntap'],0,neutral
bagus sekali aplikasi ini sangat membantu utk belajar bahasa Jepang menjadi mudah,bagus sekali aplikasi ini sangat membantu utk belajar bahasa Jepang menjadi mudah,bagus sekali aplikasi ini sangat membantu utk belajar bahasa jepang menjadi mudah,bagus sekali aplikasi ini sangat membantu utk belajar bahasa jepang menjadi mudah,bagus sekali aplikasi ini sangat membantu untuk belajar bahasa jepang menjadi mudah,"['bagus', 'sekali', 'aplikasi', 'ini', 'sangat', 'membantu', 'untuk', 'belajar', 'bahasa', 'jepang', 'menjadi', 'mudah']","['bagus', 'sekali', 'aplikasi', 'ini', 'sangat', 'membantu', 'untuk', 'belajar', 'bahasa', 'jepang', 'menjadi', 'mudah']","['bagus', 'aplikasi', 'membantu', 'belajar', 'bahasa', 'jepang', 'mudah']",bagus aplikasi membantu belajar bahasa jepang mudah,bagus aplikasi bantu ajar bahasa jepang mudah,,"['bagus', 'aplikasi', 'bantu', 'ajar', 'bahasa', 'jepang', 'mudah']",20,positive
saya belum coba tapi semoga aplikasi ini membantu perjalanan saya ke jepang,saya belum coba tapi semoga aplikasi ini membantu perjalanan saya ke jepang,saya belum coba tapi semoga aplikasi ini membantu perjalanan saya ke jepang,saya belum coba semoga aplikasi ini membantu perjalanan saya ke jepang,saya belum coba semoga aplikasi ini membantu perjalanan saya ke jepang,"['saya', 'belum', 'coba', 'semoga', 'aplikasi', 'ini', 'membantu', 'perjalanan', 'saya', 'ke', 'jepang']","['saya', 'belum', 'coba', 'semoga', 'aplikasi', 'ini', 'membantu', 'perjalanan', 'saya', 'ke', 'jepang']","['coba', 'semoga', 'aplikasi', 'membantu', 'perjalanan', 'jepang']",coba semoga aplikasi membantu perjalanan jepang,coba moga aplikasi bantu jalan jepang,,"['coba', 'moga', 'aplikasi', 'bantu', 'jalan', 'jepang']",10,positive
lumayan klo yg mau traveling atau belajar bahasa jepang disini,lumayan klo yg mau traveling atau belajar bahasa jepang disini,lumayan klo yg mau traveling atau belajar bahasa jepang disini,lumayan klo yg mau traveling atau belajar bahasa jepang disini,lumayan kalau yang mau traveling atau belajar bahasa jepang disini,"['lumayan', 'kalau', 'yang', 'mau', 'traveling', 'atau', 'belajar', 'bahasa', 'jepang', 'disini']","['lumayan', 'kalau', 'yang', 'mau', 'traveling', 'atau', 'belajar', 'bahasa', 'jepang', 'disini']","['lumayan', 'traveling', 'belajar', 'bahasa', 'jepang']",lumayan traveling belajar bahasa jepang,lumayan traveling ajar bahasa jepang,,"['lumayan', 'traveling', 'ajar', 'bahasa', 'jepang']",9,positive
sangat lengkapp dan mudah dipahami,sangat lengkapp dan mudah dipahami,sangat lengkapp dan mudah dipahami,sangat lengkapp dan mudah dipahami,sangat lengkapp dan mudah dipahami,"['sangat', 'lengkapp', 'dan', 'mudah', 'dipahami']","['sangat', 'lengkapp', 'dan', 'mudah', 'dipahami']","['lengkapp', 'mudah', 'dipahami']",lengkapp mudah dipahami,lengkapp mudah paham,,"['lengkapp', 'mudah', 'paham']",1,positive
sangat menarik & mudah di fahami untuk pemula. semoga cepat hafal & cepat faham. aplikasi yang sangat membantu. makasihhh buat training nya. lebih mudah di cerna & lebih mudah ingettt,sangat menarik  mudah di fahami untuk pemula semoga cepat hafal  cepat faham aplikasi yang sangat membantu makasihhh buat training nya lebih mudah di cerna  lebih mudah ingettt,sangat menarik  mudah di fahami untuk pemula semoga cepat hafal  cepat faham aplikasi yang sangat membantu makasihhh buat training nya lebih mudah di cerna  lebih mudah ingettt,sangat menarik  mudah di fahami untuk pemula semoga cepat hafal  cepat faham aplikasi yang sangat membantu makasihhh buat training nya lebih mudah di cerna  lebih mudah ingettt,sangat menarik mudah di fahami untuk pemula semoga cepat hafal cepat faham aplikasi yang sangat membantu makasihhh buat training nya lebih mudah di cerna lebih mudah ingettt,"['sangat', 'menarik', 'mudah', 'di', 'fahami', 'untuk', 'pemula', 'semoga', 'cepat', 'hafal', 'cepat', 'faham', 'aplikasi', 'yang', 'sangat', 'membantu', 'makasihhh', 'buat', 'training', 'nya', 'lebih', 'mudah', 'di', 'cerna', 'lebih', 'mudah', 'ingettt']","['sangat', 'menarik', 'mudah', 'di', 'fahami', 'untuk', 'pemula', 'semoga', 'cepat', 'hafal', 'cepat', 'faham', 'aplikasi', 'yang', 'sangat', 'membantu', 'makasihhh', 'buat', 'training', 'nya', 'lebih', 'mudah', 'di', 'cerna', 'lebih', 'mudah', 'ingettt']","['menarik', 'mudah', 'fahami', 'pemula', 'semoga', 'cepat', 'hafal', 'cepat', 'faham', 'aplikasi', 'membantu', 'makasihhh', 'training', 'mudah', 'cerna', 'mudah', 'ingettt']",menarik mudah fahami pemula semoga cepat hafal cepat faham aplikasi membantu makasihhh training mudah cerna mudah ingettt,tarik mudah fahami mula moga cepat hafal cepat faham aplikasi bantu makasihhh training mudah cerna mudah ingettt,,"['tarik', 'mudah', 'fahami', 'mula', 'moga', 'cepat', 'hafal', 'cepat', 'faham', 'aplikasi', 'bantu', 'makasihhh', 'training', 'mudah', 'cerna', 'mudah', 'ingettt']",28,positive
sangat bagus untuk belajar bahasa jepang dari dasar,sangat bagus untuk belajar bahasa jepang dari dasar,sangat bagus untuk belajar bahasa jepang dari dasar,sangat bagus untuk belajar bahasa jepang dari dasar,sangat bagus untuk belajar bahasa jepang dari dasar,"['sangat', 'bagus', 'untuk', 'belajar', 'bahasa', 'jepang', 'dari', 'dasar']","['sangat', 'bagus', 'untuk', 'belajar', 'bahasa', 'jepang', 'dari', 'dasar']","['bagus', 'belajar', 'bahasa', 'jepang', 'dasar']",bagus belajar bahasa jepang dasar,bagus ajar bahasa jepang dasar,,"['bagus', 'ajar', 'bahasa', 'jepang', 'dasar']",11,positive
